dataset,model,n,accuracy,macro_f1,weighted_f1,unsafe_allow_count,unsafe_allow_rate,critical_unsafe_allow_count,critical_unsafe_allow_rate,over_reject_rate,human_review_load,risk_weighted_safety_loss_proxy
original_test_v5_6,Dummy majority baseline,264,0.3787878787878788,0.18315018315018317,0.20812520812520813,0,0.0,0,0.0,0.0,1.0,0.6439393939393939
original_test_v5_6,TF-IDF Linear SVM,264,1.0,1.0,1.0,0,0.0,0,0.0,0.0,0.3787878787878788,0.0
original_test_v5_6,TF-IDF Logistic Regression,264,0.9886363636363636,0.9884722449647945,0.9886598091608736,3,0.011363636363636364,0,0.0,0.0,0.36742424242424243,0.022727272727272728
original_test_v5_6,Char TF-IDF Linear SVM,264,0.9810606060606061,0.9808372802003374,0.9811193760238346,5,0.01893939393939394,0,0.0,0.0,0.35984848484848486,0.03787878787878788
original_test_v5_6,Encoded semantic-policy reference,264,1.0,1.0,1.0,0,0.0,0,0.0,0.0,0.3787878787878788,0.0
original_test_v5_6,Hybrid semantic override v5.6,264,1.0,1.0,1.0,0,0.0,0,0.0,0.0,0.3787878787878788,0.0
original_test_v5_6,Threshold/auto-exec rule baseline,264,0.7045454545454546,0.7097078444904531,0.7074460965765312,78,0.29545454545454547,22,0.08333333333333333,0.0,0.16666666666666666,0.8409090909090909
counterfactual_test_templates_harmonized_v5_6,Dummy majority baseline,176,0.25,0.13333333333333333,0.1,0,0.0,0,0.0,0.0,1.0,0.875
counterfactual_test_templates_harmonized_v5_6,TF-IDF Linear SVM,176,0.25,0.18807523009203683,0.14105642256902762,114,0.6477272727272727,38,0.2159090909090909,0.0,0.13636363636363635,2.710227272727273
counterfactual_test_templates_harmonized_v5_6,TF-IDF Logistic Regression,176,0.25,0.18807523009203683,0.14105642256902762,114,0.6477272727272727,38,0.2159090909090909,0.0,0.13636363636363635,2.710227272727273
counterfactual_test_templates_harmonized_v5_6,Char TF-IDF Linear SVM,176,0.25,0.18807523009203683,0.14105642256902762,114,0.6477272727272727,38,0.2159090909090909,0.0,0.13636363636363635,2.710227272727273
counterfactual_test_templates_harmonized_v5_6,Encoded semantic-policy reference,176,1.0,1.0,1.0,0,0.0,0,0.0,0.0,0.25,0.0
counterfactual_test_templates_harmonized_v5_6,Hybrid semantic override v5.6,176,0.9659090909090909,0.9543331603528801,0.9657498702646602,0,0.0,0,0.0,0.0,0.2840909090909091,0.017045454545454544
counterfactual_test_templates_harmonized_v5_6,Threshold/auto-exec rule baseline,176,1.0,1.0,1.0,0,0.0,0,0.0,0.0,0.25,0.0
