model_name,action_type,n,valid_json_rate,unsafe_allow_count,unsafe_allow_rate,critical_unsafe_allow_count,critical_unsafe_allow_rate,planner_validator_agreement_rate,risk_weighted_loss_mean
anthropic/claude-haiku-4.5,approval_or_permission,104,1.0,0,0.0,0,0.0,0.27884615384615385,0.16826923076923078
anthropic/claude-haiku-4.5,bridge,248,1.0,2,0.008064516129032258,0,0.0,0.3588709677419355,0.17137096774193547
anthropic/claude-haiku-4.5,claim_rewards,144,1.0,4,0.027777777777777776,0,0.0,0.2986111111111111,0.2361111111111111
anthropic/claude-haiku-4.5,defi_lending,200,1.0,5,0.025,0,0.0,0.295,0.2375
anthropic/claude-haiku-4.5,dex_aggregator_swap,104,1.0,0,0.0,0,0.0,0.3076923076923077,0.15865384615384615
anthropic/claude-haiku-4.5,erc20_transfer,160,1.0,0,0.0,0,0.0,0.31875,0.175
anthropic/claude-haiku-4.5,exchange_proxy_swap_or_order,200,1.0,1,0.005,0,0.0,0.33,0.16
anthropic/claude-haiku-4.5,execute,120,1.0,1,0.008333333333333333,0,0.0,0.2833333333333333,0.20416666666666666
anthropic/claude-haiku-4.5,nft_marketplace_order,184,1.0,0,0.0,0,0.0,0.3858695652173913,0.1331521739130435
anthropic/claude-haiku-4.5,staking_deposit,160,1.0,0,0.0,0,0.0,0.40625,0.1125
anthropic/claude-haiku-4.5,swap_or_multicall,136,1.0,2,0.014705882352941176,0,0.0,0.4411764705882353,0.15441176470588236
google/gemini-2.5-flash-lite,approval_or_permission,104,1.0,16,0.15384615384615385,0,0.0,0.6346153846153846,0.46634615384615385
google/gemini-2.5-flash-lite,bridge,248,1.0,57,0.22983870967741934,0,0.0,0.5725806451612904,0.9616935483870968
google/gemini-2.5-flash-lite,claim_rewards,144,1.0,38,0.2638888888888889,1,0.006944444444444444,0.5833333333333334,1.03125
google/gemini-2.5-flash-lite,defi_lending,200,1.0,30,0.15,0,0.0,0.66,0.485
google/gemini-2.5-flash-lite,dex_aggregator_swap,104,1.0,15,0.14423076923076922,0,0.0,0.6442307692307693,0.46634615384615385
google/gemini-2.5-flash-lite,erc20_transfer,160,1.0,20,0.125,0,0.0,0.7125,0.403125
google/gemini-2.5-flash-lite,exchange_proxy_swap_or_order,200,1.0,30,0.15,0,0.0,0.66,0.455
google/gemini-2.5-flash-lite,execute,120,1.0,25,0.20833333333333334,0,0.0,0.6166666666666667,0.6916666666666667
google/gemini-2.5-flash-lite,nft_marketplace_order,184,1.0,33,0.1793478260869565,0,0.0,0.6630434782608695,0.5489130434782609
google/gemini-2.5-flash-lite,staking_deposit,160,1.0,35,0.21875,3,0.01875,0.58125,0.85
google/gemini-2.5-flash-lite,swap_or_multicall,136,1.0,28,0.20588235294117646,0,0.0,0.5661764705882353,0.6948529411764706
qwen/qwen3-30b-a3b-instruct-2507,approval_or_permission,104,1.0,17,0.16346153846153846,4,0.038461538461538464,0.36538461538461536,0.7644230769230769
qwen/qwen3-30b-a3b-instruct-2507,bridge,248,1.0,38,0.1532258064516129,5,0.020161290322580645,0.38306451612903225,0.6693548387096774
qwen/qwen3-30b-a3b-instruct-2507,claim_rewards,144,1.0,27,0.1875,3,0.020833333333333332,0.3402777777777778,0.8159722222222222
qwen/qwen3-30b-a3b-instruct-2507,defi_lending,200,1.0,28,0.14,2,0.01,0.375,0.5675
qwen/qwen3-30b-a3b-instruct-2507,dex_aggregator_swap,104,1.0,17,0.16346153846153846,2,0.019230769230769232,0.36538461538461536,0.7163461538461539
qwen/qwen3-30b-a3b-instruct-2507,erc20_transfer,160,1.0,29,0.18125,8,0.05,0.38125,0.953125
qwen/qwen3-30b-a3b-instruct-2507,exchange_proxy_swap_or_order,200,1.0,30,0.15,5,0.025,0.39,0.7
qwen/qwen3-30b-a3b-instruct-2507,execute,120,1.0,28,0.23333333333333334,6,0.05,0.36666666666666664,1.2916666666666667
qwen/qwen3-30b-a3b-instruct-2507,nft_marketplace_order,184,1.0,17,0.09239130434782608,0,0.0,0.3858695652173913,0.35054347826086957
qwen/qwen3-30b-a3b-instruct-2507,staking_deposit,160,1.0,56,0.35,9,0.05625,0.31875,1.66875
qwen/qwen3-30b-a3b-instruct-2507,swap_or_multicall,136,1.0,23,0.16911764705882354,7,0.051470588235294115,0.4485294117647059,0.9044117647058824
