source,violation_group,count
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_critical_unsafe_allow_cases_corrected_v5_6.csv,governance_review_record,51
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_critical_unsafe_allow_cases_corrected_v5_6.csv,policy_violation,4
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_critical_unsafe_allow_cases_corrected_v5_6.csv,intent_mismatch,3
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_critical_unsafe_allow_cases_corrected_v5_6.csv,approval_value_execution_risk,2
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_critical_unsafe_allow_cases_corrected_v5_6.csv,ambiguity_missing_context,1
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,policy_violation,1326
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,approval_value_execution_risk,871
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,ambiguity_missing_context,685
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,governance_review_record,660
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,intent_mismatch,5
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,approval_value_execution_risk,438
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,policy_violation,67
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,ambiguity_missing_context,54
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,governance_review_record,51
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,intent_mismatch,3
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,approval_value_execution_risk,386
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,policy_violation,325
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,ambiguity_missing_context,189
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,governance_review_record,115
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,intent_mismatch,54
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,contract_recipient_bridge_risk,31
